레시피명,재료,조리도구,레시피,식사/간식,링크,기본 조리도구,추가 조리도구
한입 프렌치토스트,"식빵 2장, 계란 2개, 설탕 1스푼, 우유 3스푼, 식용유/버터 약간",프라이팬,"1. 계란 2개, 설탕 1스푼, 우유 3스푼을 넣고 잘 섞는다
2. 식빵은 먹기 좋은 크기로 잘라 계란물을 적셔 준다
3. 프라이팬에 식용유나 버터를 두른다
4. 약불에서 중약불 정도에서 식빵을 구워주면 완성",간식,https://youtube.com/shorts/Zu79Zn_L1to?si=nptPFMBu-mFgTAfY,,
콩나물 비빔밥,"밥 1인분, 콩나물, 다진마늘 1/2스푼, 고춧가루 1스푼, 양조간장 2스푼, 참기름 1스푼, 깨 1스푼, 계란 1개",전자레인지,"1. 전자레인지용 그릇에 밥 한 공기와 콩나물 1~2줌을 담아준다.
2. 랩이나 뚜껑을 덮어 전자레인지에 3~4분 돌려준다.
3. 양념장은 다진 마늘 1/2스푼, 고춧가루 1스푼, 양조간장 2스푼, 참기름 1스푼, 깨 1스푼 넣어 섞어준다
4. 밥 위에 양념장과 계란후라이도 하나 올려서 비벼주면 끝",식사,https://youtube.com/shorts/XOfimxEFsz4?si=pTya7Uz4XC-0QlBu,,
전자레인지 두부조림,"두부 1모, 소금 한 꼬집, 고춧가루 2스푼, 간장 2스푼, 올리고당(or 설탕) 1스푼, 물 4스푼, 다진 대파/마늘 1스푼씩, 참기름 1스푼, 깨",전자레인지,"1. 두부는 먹기 좋게 자르고 소금 한 꼬집을 뿌려서 전자레인지 1분 돌려 수분을 빼줍니다.
2. 양념장은 고춧가루 2스푼, 간장 2스푼, 올리고당(or 설탕) 1스푼, 물 4스푼, 다진 대파/마늘 1스푼씩 넣어 잘 섞어줍니다.
3. 두부에 양념장을 얹고 전자레인지 3분 돌려줍니다.
4. 마지막에 참기름 1스푼과 깨 뿌려주면 완성",식사,https://youtube.com/shorts/K_kvWJNdFPI?si=THQQ0JvlJWZW6Q6r,,
전자레인지 치즈케이크,"로투스 7개, 버터 1조각, 크림치즈 5스푼, 설탕 2스푼, 계란 1개",전자레인지,"1. 로투스를 잘게 부수고 녹인 버터와 섞어준다.
2. 그릇에 부순 로투스를 깔아준다.
3. 크림치즈, 설탕, 계란을 섞어서 반죽을 부어준다.
4. 전자레인지에 30초씩 4-5번 돌려주고 차게 식혀준다.",간식,https://youtube.com/shorts/1HzJhGJdO88?si=JGTqm6sys_yf7Bkw,,
치즈칩,파마산 치즈,오븐,"1. 파마산 치즈를 종이 호일 위에 올린다  
2. 오븐 200도 5-7분 돌려준다 (오븐 없으면 후라이팬에 앞 뒤로 약불로 구워준 후 잠시 식히기)",간식,,프라이팬,
전자레인지 라따뚜이,"애호박, 가지, 새송이버섯 각 1개, 베이컨, 계란 2개, 토마토소스, 모짜렐라치즈, 소금, 후추",전자레인지,"1. 잘 씻은 애호박, 가지, 새송이버섯 각 1개씩 비슷한 두께로 편 썰어주기
2. 베이컨도 적당한 크기로 썰어주고
3. 전자렌지용 그릇에 편 썰어둔 애호박, 가지, 새송이버섯 번갈아 놓고
4. 사이사이 베이컨 끼워넣기
5. 소금 , 후추 취향껏 뿌려주고 모짜렐라치즈 듬뿍 올려주기
6. 뚜껑덮고 전자렌지 7분~8분 돌려주면됨",식사,https://youtube.com/shorts/2fTY8WTpE0k?si=VwMa6-PVk8lLvfEh,,
전자레인지 당근케이크,"당근 1개, 알룰로스 1스푼, 아몬드 40g, 달걀 3개, 버터 1스푼, 호두",전자레인지,"1. 당근 1개, 알룰로스 1스푼, 아몬드 40g, 달걀 3개, 버터 넣고 믹서기에 갈아준다
2. 그릇에 오일을 살짝 바르고 간 것을 전부 부워준다
3. 기포를 빼준뒤 전자레인지에 8분 돌려준다",간식,https://youtube.com/shorts/GoTA6EyLYwc?si=fP5jfGDAO6brqtMx,믹서기,
만두 그라탕,"냉동 만두 200g(약 5~6개), 토마토소스 4큰술, 피자치즈 2줌, 양파 1/6개(생략 가능), 파슬리(생략 가능)",전자레인지,"1. 냉동만두를 전자레인지용 그릇에 담아 물 살짝 뿌리고 랩 씌운 뒤 구멍내서 2~3분 돌려 해동시켜요.
(*만두 크기와 양에 따라 시간 조절)
2. 그동안 양파를 얇게 채썰어주세요.
3. 해동 된 만두를 먹기 좋게 2~3등분으로 자르고 양파, 토마토소스, 치즈를 올린 뒤 전자레인지에 치즈가 녹을 때 까지 돌리면 완성입니다.
* 핫소스나 스리라차 뿌려서 더 매콤하게 먹어도 좋아요.
",식사,https://youtube.com/shorts/wApmbidCmV4?si=xkG7DTxZdFWETjxq,,
모닝 계란빵,"모닝빵, 계란 1개, 소금, 후추, 파슬리(생략가능)",전자레인지,"1. 모닝빵은 계란 1개가 들어갈 정도로 속을 파내고
2. 파낸 부분에 계란 1개를 넣어주고,
3. 소금과 후추 파슬리가루를 약간 뿌려 간을 맞춰준 뒤 노른자는 콕콕 찔러주고
(햄이나 치즈를 잘라서 넣어도 맛있어요)
4. 전자레인지 2분 ",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
엽기떡볶이,"떡 200g, 고춧가루 2.5스푼, 카레1, 설탕3, 후추약간, 고추장1, 어묵과 대파 약간, 치즈 선택",전자레인지,"1. 떡 200g 기준으로 양념 고춧가루 2.5스푼, 카레1, 설탕3, 후추약간, 고추장1
여기에 어묵과 대파 약간 넣고 잘 섞는다.
2. 매운걸 좋아하면 물은 2컵, 국물이 넉넉한게 좋다면 물 3컵 넣고
3. 전자렌지에 3분 
4. 3분 후 꺼내서 한번 휘휘 섞어준 뒤
5. 다시 전자렌지에 8분
6. 치즈 듬뿍 올려 치즈 녹을때까지 돌려주기 (약 1~2분)",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
콘치즈,"캔옥수수 1통,  마요네즈 2스푼, 설탕 2스푼, 소금과 후추 약간, 치즈",전자레인지,"1. 캔옥수수는 물기를 제거하고
2. 마요네즈 2스푼, 설탕 2스푼, 소금과 후추 약간 뿌려 잘섞는다.
3. 전자레인지 용기에 옮겨 담고, 그위에 치즈는 취향껏 덮어준다.
4. 전자렌지에 3분 ",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
전자레인지 마늘빵,"버터 5스푼, 설탕 1스푼, 다진마늘 1스푼, 바게트빵 or 식빵, 파슬리가루 (선택)",전자레인지,"1. 버터 5스푼(50g)은 전자렌지에 30초~1분 정도 녹여주고
2. 여기에 설탕 1스푼, 다진마늘 1스푼 듬뿍 넣고 파슬리가루 넣고 잘 섞어준다.
3. 바게트빵이나 식빵을 잘라서 발라주고
4. 전자렌지에 2분 
5. 2분후에 꺼내 그대로 식혀주고,
6. 딱딱하게 식었다면 다시 한번 전자렌지에 넣고, 1분 30초",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
라면땅 (일반맛),"라면 1개, 설탕 ",전자레인지,"1. 아무 라면이나 적당히 잘라주고,
2. 전자렌지에 30초~1분 정도 (바삭한걸 좋아하면 2~3분)
3. 라면 스프를 봉지에 담고, 설탕 1~2스푼 (원하는대로~)넣어 잘 섞어주고,
4. 전자렌지에서 꺼낸 라면을 넣고 한번 더 섞으면 라면땅 완성",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
라면땅 (고소한 맛),"라면 1개, 마요네즈, 설탕",전자레인지,"1. 라면에 마요네즈를 발라주고,
2. 설탕도 솔솔 뿌려주고,
3. 전자렌지에 1분 ( 바삭한걸 좋아하면 2~3분)
4. 스프 뿌려서 먹기",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
전자레인지 초코케이크,"계란1개, 밀가루 아무거나 2스푼, 누텔라 2스푼, 베이킹파우더(생략가능), 초코칩",전자레인지,"1. 계란1개, 밀가루 아무거나 2스푼, 누텔라 2스푼, 베이킹파우더(생략가능), 초코칩 취향껏
넣는다
2. 전자레인지 1분 돌려주면 끝",간식,https://youtube.com/shorts/Lr7sOm30Rcg?si=1XX6281EzHcBmCwx,,
두부 새우 그라탕,"두부 150g, 계란 2알, 새우 5미, 토마토 소스 4T, 소금, 후추, 모짜렐라 치즈",전자레인지,"1.전자레인지 조리 가능 용기에 두부 150g, 계란 2알을 넣는다.
2.소금 후추로 간하고, 포크로 골고루 섞어준다.
3.토마토 소스 4T 넣고, 새우, 모짜렐라 치즈 순서로 올린다.
4.뚜껑 닫고 전자레인지 5분 돌려준다.
(전자레인지 사양에 따라 새우와 치즈가 녹을 때까지 익혀준다.)",식사,https://youtube.com/shorts/jkT2Ah2mjFE?si=ljdR5rZxyhwkTIAc,,
우삼겹 규동,"간장 1.5, 알룰로스 0.8, 맛술1, 다진마늘1
우삽겹 100g, 양파1/4, 후추, 계란, 대파나 와사비","전자레인지, 프라이팬","1. 약불에 우삼겹 100-120g 녹이듯 굽다가, 채 썬 양파 1/4개, 후추 추가 약불에 1분 볶기
2. 중불에 소스 넣고 물기 살짝 날라갈 정도로 볶기
소스: 간장 1.5, 알룰로스 0.8, 맛술1, 다진마늘1
수란: 물 2/3그릇, 식초 1, 계란1 (노른자 콕), 전자레인지에 1분 30초 +20초 추가 (계란후라이로 대체 가능)
3. 마무리로 대파나 와사비 취향껏",식사,https://youtube.com/shorts/rX7tvm_viIA?si=FRTYlH-IlsOxjexh,,
볶음밥,"밥 , 계란 2 , 스팸 , 간장 , 굴소스 , 참기름",전자레인지,"1.밥 , 계란 2 , 스팸 넣고 전자레인지 4분 돌려주세요
2.간장 , 굴소스 , 참기름 넣고 섞으면 완성",식사,https://youtube.com/shorts/6kitY0cW3Y8?si=qOxQo5OFN6k1TxLr,,
매콤 스팸덮밥,"밥, 계란 2개, 스팸, 간장 반스푼, 설탕 반스푼, 불닭소스 1스푼",프라이팬,"1. 프라이팬에 계란 2개 스크램블 해준다
2. 깍둑썰기한 스팸 구워주다가 간장 반스푼, 설탕 반스푼, 불닭소스 1스푼 1-2분 볶는다
3. 밥위에 올려주면 끝",식사,https://youtube.com/shorts/8O-sRwW0u9g?si=Fsu_kZXoHeeh1R1o,,
비빔 라면 ,"라면 1개, 마요네즈, 쪽파, 마늘",프라이팬,"1. 그릇에 마요네즈, 라면스프, 쪽파, 마늘 섞어주기
2. 면 삶아서 면수 소스그릇에 1국자 덜기
2. 면 건져서 비벼주면 끝",식사,https://youtube.com/shorts/5tkfA8yy79Y?si=IbfaslmPj7FBpt4a,,
팽이버섯 덮밥,"밥, 팽이버섯 1봉지, 진간장 1스푼, 알룰로스 1스푼, 스리라차 1스푼, 굴소스 0.5스푼, 고춧가루, 계란 2개, 참기름, 깨",전자레인지,"1. 전자레인지 가능 용기에 밥과 팽이버섯올리고 진간장 1스푼, 알룰로스 1스푼, 스리라차 1스푼, 굴소스 0.5스푼, 고춧가루 살짝 뿌립니다
2. 계란 두개 노른자 터트려서 올리고 랩 씌워서 구멍 내줍니다
3. 전자레인지 4분 돌려줍니다. 
4. 마지막에 참기름 한 바퀴, 깨 뿌려주면 끝",식사,https://youtu.be/YqBdqPAMjas?si=Swa2NoXGe9lzDdFY,,
간단 생초콜릿,"코코아파우더 4스푼, 알룰로스 5스푼",,"1. 코코아 파우더와 알룰로스를 넣고 섞는다.
2. 잘 뭉쳐지면 한입 크기로 만든다. 
3. 코코아 파우더에 한 번 굴린다.",간식,https://www.youtube.com/shorts/iGvMqwAqtd8,,
간단 초코범벅,"코코아파우더 2.5스푼, 알룰로스 5스푼, 계란 1개",전자레인지,"1. 계란, 코코아파우더, 알룰로스 넣고 섞는다.
2. 전자레인지에 1분 돌린다.
3. 냉장고에 시원해질 때까지 숙성시킨다.",간식,https://www.youtube.com/shorts/EkVvc0t5mVE,,
된장계란 덮밥,"밥, 계란 2개, 조미김 1봉, 된장 0.6스푼, 간장 1스푼, 알룰로스 2스푼",,"1. 계란을 삶아 으깬다. 
2. 된장, 간장, 알룰로스를 넣고 양념을 만든다.
3. 양념장과 계란을 섞는다.
4. 밥 위에 계란된장 양념을 올려주고 김가루를 뿌린다.",식사,https://www.youtube.com/shorts/qYrVhfKTz0M,,
두부면 파스타,"두부면 1팩, 토마토소스, 모짜렐라 치즈",전자레인지,"1. 두부면에 토마토소스 1컵 넣는다.
2. 햄, 닭가슴살, 스위트콘 등을 취향껏 넣는다.
3. 치즈를 올리고 전자레인지에 2분 돌린다.",식사,https://www.youtube.com/shorts/MNl6P5VzU3M,,
고추장 크림리조또,"밥, 우유 200ml, 고추장 2스푼, 알룰로스 0.6스푼, 슬라이스 치즈 1장",전자레인지,"1. 밥에 우유, 고추장, 알룰로스를 넣고 섞는다.
2. 전자레인지 2분돌리고 한 번 섞어준다.
3. 치즈 올린 후 전자레인지에 1분 더 돌린다.",식사,https://www.youtube.com/shorts/Q21Cdl8B4sU,,
닭볶음탕 덮밥,"밥, 닭가슴살 1팩, 조미김 1봉, 간장 1스푼, 고추장 0.6스푼, 쌈장 0.6스푼, 알룰로스 0.5스푼",전자레인지,"1. 간장, 고추장, 쌈장, 알룰로스 넣고 양념을 만든다.
2. 닭가슴살을 찢어 양념을 올리고 전자레인지에 1분 돌린다.
3. 닭가슴살을 밥 위에 올려 주고 김가루를 뿌린다.",식사,https://www.youtube.com/shorts/AdY-ZFfcYgQ,,
떠먹는 토스트,"식빵 1개, 계란 1개, 소금 1, 물 3스푼, 알룰로스 1스푼",전자레인지,"1. 계란 깐 후 소금, 물, 알룰로스 넣고 섞는다.
2. 식빵을 계란물 위에 깔아준다.
3. 전자레인지에 1분 돌려준다.
4. 취향에 따라 케첩과 머스타드를 뿌린다.",간식,https://www.youtube.com/shorts/cCFjt6tsi-I,,
수플레 피자,"식빵 1개, 우유 50ml, 토마토소스 4스푼, 스팸 0.25캔, 모짜렐라 ",전자레인지,"1. 식빵을 우유에 푹 담가준다.
2. 식빵 위에 토마토소스를 올린다.
3. 취향껏 햄, 닭가슴살을 올린다. 
4. 치즈를 올린 후 전자레인지에 2분 돌린다. ",식사,https://www.youtube.com/shorts/LungkfKRUyo,,
허니버터 치즈밥,"밥, 버터 0.5스푼, 간장 1스푼, 알룰로스 1스푼, 모짜렐라 치즈",전자레인지,"1. 밥에  간장, 알룰로스 넣고 섞는다.
2. 버터, 치즈 올린 후 전자레인지에 1분 30초 돌린다.",식사,https://www.youtube.com/shorts/cqW6Q7ESoLg,,
허니버터 간장계란밥,"밥, 계란 1개, 버터 0.5스푼, 간장 1스푼, 알룰로스 0.5스푼, 물 1스푼",전자레인지,"1. 간장, 알룰로스, 물을 넣고 섞는다.
2. 계란 1개를 까고 노른자를 터트려 준 뒤 버터를 넣는다.
3. 전자레인지에 1분 10초 돌려서 밥 위에 올려준다.",식사,https://www.youtube.com/shorts/Rfjrn1LIWyE,,
두부 비빔밥,"밥, 두부 0.5모, 조미김 1봉, 간장 2스푼, 고추장 0.5스푼, 알룰로스 1스푼",전자레인지,"1. 두부를 으깨준다. 
2. 간장, 고추장, 알룰로스를 넣고 양념을 만든다.
3. 두부에 양념을 넣고 섞는다.
4. 밥 위에 양념 두부 올린다.
5. 취향껏 조미김을 부숴 뿌려준다.",식사,https://www.youtube.com/shorts/s7ZuQkjPjt8,,
순두부 범벅,"밥, 순두부 0.5모, 간장 2.5스푼, 참기름",,"1. 밥 위에 순두부 반 모 올리고 숭덩 잘라준다. 
2. 간장, 참기름을 넣어준다. 
3. 김가루, 통깨를 취향껏 뿌린다.",식사,https://www.youtube.com/shorts/oKCLLJedNOs,,
티라미수,"찐고구마 100g, 그릭요거트 1.5스푼, 알룰로스 3스푼, 오트밀 20g, 우유 3스푼, 코코아파우더 2스푼",,"1. 찐 고구마를 으깬 후 그릭요거트, 알룰로스와 섞어 준다.
2. 오트밀에 우유를 넣고 1에서 만든 크림을 올린다.
3. 뚜껑을 덮고 냉장고에서 1시간 이상 숙성시킨다.
4. 코코아파우더를 올린다.",간식,https://www.youtube.com/shorts/FcO0bplJQrs,,
고구마 카레닭,"찐고구마 100g, 카레가루 1.5스푼, 닭가슴살 1팩, ",전자레인지,"1. 고구마를 으깨준다.
2. 고구마 위에 카레가루 1스푼을 펴준다.
3. 닭가슴살을 찢어서 올려준다.
4. 닭가슴살 위에 카레가루 0.5스푼을 펴준다.
5. 전자레인지에 2분 돌린다.",간식,https://www.youtube.com/shorts/Mze7APcmFS8,,
아보카도 명란 덮밥 ,"밥 1인분, 명란 1개, 계란 1알, 아보카도 1/2개, 김자반 조금,  참기름 1스푼 ",,"
1.아보카도를 길게 썰고 명란은 껍질을 벗겨 준비한다.
2.계란을 구워 밥 위에 명란, 아보카도, 김자반, 계란후라이을 올린다.
3,참기름을 뿌려서 완성
",식사,,,
고등어 덮밥,"시판용 냉동 고등어 구이 1팩, 밥 1인분, 진간장 1/2스푼, 참치액 1/2스푼, 맛술 1/2스푼, 깨 조금, 쪽파 3단, 버터 1조각 ",전자레인지 ,"1.시판용 냉동 고등어 구이 1팩을 전자레인지에 2분 돌린다.
2. 밥에 진간장, 참치액, 맛술을 넣고, 쪽파는 작게 자른다.
3. 고등어와 쪽파를 양념된 밥 위에 올리고, 깨와 버터를 올려 완성 ",식사,,,
쿠쿠다스 샌드,"쿠쿠다스 8개, 딸기 10개, 요거트나 생크림, 딸기잼 1스푼, 알룰로스 3스푼",,"1.딸기를 작게 자르고 요거트/생크림에 넣는다.
2.딸기잼과 알룰로스를 넣고, 섞고 용기에 랩을 덮어준다.
3. 바닥에 쿠쿠다스 4개를 깔고 만들어둔 딸기 생크림/요거트를 붓는다.
4.위에 다시 쿠쿠다스를 올리고 냉동고에 4-5시간 얼린 후 쿠쿠다스 크기대로 자르면 완성 
",간식,,,
,,,"
",,,,